nombre,nivel,grado
Sección A,Inicial,3
Sección B,Inicial,3
Sección C,Inicial,3
Sección A,Inicial,4
Sección B,Inicial,4
Sección C,Inicial,4
Sección D,Inicial,4
Sección A,Inicial,5
Sección B,Inicial,5
Sección C,Inicial,5
Sección D,Inicial,5
Sección E,Inicial,5
Sección A,Primaria,1
Sección B,Primaria,1
Sección C,Primaria,1
Sección D,Primaria,1
Sección E,Primaria,1
Sección F,Primaria,1
Sección A,Primaria,2
Sección B,Primaria,2
Sección C,Primaria,2
Sección D,Primaria,2
Sección E,Primaria,2
Sección F,Primaria,2
Sección A,Primaria,3
Sección B,Primaria,3
Sección C,Primaria,3
Sección D,Primaria,3
Sección E,Primaria,3
Sección F,Primaria,3
Sección A,Primaria,4
Sección B,Primaria,4
Sección C,Primaria,4
Sección D,Primaria,4
Sección E,Primaria,4
Sección F,Primaria,4
Sección A,Primaria,5
Sección B,Primaria,5
Sección C,Primaria,5
Sección D,Primaria,5
Sección E,Primaria,5
Sección F,Primaria,5
Sección A,Primaria,6
Sección B,Primaria,6
Sección C,Primaria,6
Sección D,Primaria,6
Sección E,Primaria,6
Sección F,Primaria,6
Sección A,Secundaria,1
Sección B,Secundaria,1
Sección C,Secundaria,1
Sección D,Secundaria,1
Sección E,Secundaria,1
Sección A,Secundaria,2
Sección B,Secundaria,2
Sección C,Secundaria,2
Sección D,Secundaria,2
Sección E,Secundaria,2
Sección A,Secundaria,3
Sección B,Secundaria,3
Sección C,Secundaria,3
Sección D,Secundaria,3
Sección E,Secundaria,3
Sección A,Secundaria,4
Sección B,Secundaria,4
Sección C,Secundaria,4
Sección D,Secundaria,4
Sección E,Secundaria,4
Sección A,Secundaria,5
Sección B,Secundaria,5
Sección C,Secundaria,5
Sección D,Secundaria,5
Sección E,Secundaria,5